pope,title,subtitle,published_date,doc_type,format,link,source,pope_url,notes
Alexander IV,Inter Ea Quae Placita,,1255-04-06,document,html,https://www.papalencyclicals.net/alex04/alex4inter.htm,papalencyclicals,https://www.papalencyclicals.net/category/alex04,
Alexander IV,Petitionibus Vestris Benignum Impertientes,,1255-07-15,document,html,https://www.papalencyclicals.net/alex04/alex4petit.htm,papalencyclicals,https://www.papalencyclicals.net/category/alex04,
Alexander IV,Clara claris praeclara,,1255-09-26,document,html,https://www.papalencyclicals.net/alex04/clara-claris-praeclara.htm,papalencyclicals,https://www.papalencyclicals.net/category/alex04,
Alexander IV,Dignum Arbitramur et Congruum,,1955-09-22,document,html,https://www.papalencyclicals.net/alex04/alex4dignum.htm,papalencyclicals,https://www.papalencyclicals.net/category/alex04,
Alexander VI,Inter Caetera,,1493-05-04,document,html,https://www.papalencyclicals.net/alex06/alex06inter.htm,papalencyclicals,https://www.papalencyclicals.net/category/alex06,
Alexander VII,Super Cathedram Principis Apostolorum,,1659-09-09,document,html,https://www.papalencyclicals.net/alex07/alex07super.htm,papalencyclicals,https://www.papalencyclicals.net/category/alex07,
Benedict XII,Benedictus Deus,,1334-12-20,document,html,https://www.papalencyclicals.net/ben12/b12bdeus.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben12,
Benedict XIV,UBI PRIMUM,,1740-12-03,document,html,https://www.papalencyclicals.net/ben14/b14ubiprl.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Ubi Primum,,1740-12-03,document,html,https://www.papalencyclicals.net/ben14/b14ubipr.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Non ambigimus,,1741-05-30,document,html,https://www.papalencyclicals.net/ben14/non-ambigimus.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Pro eximia tua,,1741-06-30,document,html,https://www.papalencyclicals.net/ben14/pro-eximia-tua.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Quanta Cura,,1741-06-30,document,html,https://www.papalencyclicals.net/ben14/b14quant.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,In suprema Universalis,,1741-08-22,document,html,https://www.papalencyclicals.net/ben14/in-suprema-universalis.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Quamvis paternae,,1741-08-26,document,html,https://www.papalencyclicals.net/ben14/quamvis-paternae.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Satis vobis compertum,,1741-11-17,document,html,https://www.papalencyclicals.net/ben14/satis-vobis-compertum.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Etsi minime,,1742-02-07,document,html,https://www.papalencyclicals.net/ben14/etsi-minime.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Certiores effecti,,1742-11-13,document,html,https://www.papalencyclicals.net/ben14/certiores-effecti.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Cum illud semper,,1742-12-14,document,html,https://www.papalencyclicals.net/ben14/cum-illud-semper.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Quemadmodum preces,,1743-03-23,document,html,https://www.papalencyclicals.net/ben14/quemadmodum-preces.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Nimiam Licentiam,,1743-05-18,document,html,https://www.papalencyclicals.net/ben14/b14nimia.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
Benedict XIV,Inter omnigenas,,1744-02-02,document,html,https://www.papalencyclicals.net/ben14/inter-omnigenas.htm,papalencyclicals,https://www.papalencyclicals.net/category/ben14,
